timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,Load (N)
27587864,1,1,0,0,1,5845.13232421875
27989457,1,1,0,0,1,6336.109375
28391047,1,1,0,0,1,6572.63818359375
28792643,1,1,0,0,1,6354.0283203125
29194222,1,1,0,0,1,7242.8037109375
29595777,1,1,0,0,1,6475.87646484375
29997356,1,1,0,0,1,6608.47607421875
30398927,1,1,0,0,1,6873.6748046875
30800500,1,1,0,0,1,6242.93115234375
31202118,1,1,0,0,1,7242.8037109375
31603698,1,1,0,0,1,6873.6748046875
32005277,1,1,0,0,1,7310.89501953125
32406823,1,1,0,0,1,7447.07861328125
32808398,1,1,0,0,1,6870.09130859375
33209925,1,1,0,0,1,7282.22509765625
33611519,1,1,0,0,1,7275.0576171875
34013099,1,1,0,0,1,6375.53076171875
34414673,1,1,0,0,1,6669.39990234375
34816284,1,1,0,0,1,7153.20947265625
35217831,1,1,0,0,1,7077.9501953125
35619417,1,1,0,0,1,6974.0205078125
36020998,1,1,0,0,1,6801.99951171875
36422576,1,1,0,0,1,7518.75390625
36824152,1,1,0,0,1,7353.900390625
37225728,1,1,0,0,1,6658.64892578125
37627316,1,1,0,0,1,6468.708984375
38028923,1,1,0,0,1,7490.083984375
38430507,1,1,0,0,1,6457.95751953125
38832094,1,1,0,0,1,6425.70361328125
39233682,1,1,0,0,1,7271.4736328125
39635265,1,1,0,0,1,6311.02294921875
40036845,1,1,0,0,1,5479.587890625
40438433,1,1,0,0,1,6601.30859375
40840020,1,1,0,0,1,7411.24072265625
41241601,1,1,0,0,1,7930.8876953125
41643215,1,1,0,0,1,7472.1650390625
42044794,1,1,0,0,1,6837.83740234375
42446387,1,1,0,0,1,7805.4560546875
42847979,1,1,0,0,1,7525.92138671875
43249568,1,1,0,0,1,6873.6748046875
43651166,1,1,0,0,1,6733.90771484375
44052742,1,1,0,0,1,7540.2568359375
44454297,1,1,0,0,1,7009.8583984375
44855904,1,1,0,0,1,7518.75390625
45257492,1,1,0,0,1,7120.95556640625
45659068,1,1,0,0,1,7622.68359375
46060609,1,1,0,0,1,6156.92041015625
46462198,1,1,0,0,1,6999.10693359375
46863776,1,1,0,0,1,6816.33447265625
47265323,1,1,0,0,1,7120.95556640625
47666909,1,1,0,0,1,6927.431640625
48068457,1,1,0,0,1,6730.32421875
48470060,1,1,0,0,1,7092.28515625
48871647,1,1,0,0,1,6006.40234375
49273225,1,1,0,0,1,6393.44970703125
49674806,1,1,0,0,1,6418.5361328125
50076396,1,1,0,0,1,6099.580078125
50477990,1,1,0,0,1,7067.19873046875
50879581,1,1,0,0,1,6895.177734375
51281170,1,1,0,0,1,7672.8564453125
51682778,1,1,0,0,1,7866.3798828125
52084371,1,1,0,0,1,7235.63623046875
52485961,1,1,0,0,1,6984.77197265625
52887554,1,1,0,0,1,7117.37158203125
53289097,1,1,0,0,1,7203.38232421875
53690682,1,1,0,0,1,6339.69287109375
54092228,1,1,0,0,1,6361.19580078125
54493787,1,1,0,0,1,6991.939453125
54895376,1,1,0,0,1,7128.123046875
55296980,1,1,0,0,1,6909.5126953125
55698564,1,1,0,0,1,6952.51806640625
56100148,1,1,0,0,1,6877.2587890625
56501737,1,1,0,0,1,6719.57275390625
56903279,1,1,0,0,1,6809.1669921875
57304870,1,1,0,0,1,7171.1279296875
57706460,1,1,0,0,1,6658.64892578125
58108000,1,1,0,0,1,6751.82666015625
58509583,1,1,0,0,1,7146.04150390625
58911178,1,1,0,0,1,5794.95947265625
59312772,1,1,0,0,1,6551.1357421875
59714348,1,1,0,0,1,7959.55810546875
60115898,1,1,0,0,1,6705.23779296875
60517480,1,1,0,0,1,7020.60986328125
60919060,1,1,0,0,1,7619.099609375
61320617,1,1,0,0,1,7067.19873046875
61722203,1,1,0,0,1,7264.30615234375
62123811,1,1,0,0,1,7662.10498046875
62525378,1,1,0,0,1,6447.2060546875
62926924,1,1,0,0,1,6755.41064453125
63328518,1,1,0,0,1,6984.77197265625
63730058,1,1,0,0,1,7034.94482421875
64131647,1,1,0,0,1,6855.75634765625
64533239,1,1,0,0,1,7020.60986328125
64934821,1,1,0,0,1,7361.06787109375
65336431,1,1,0,0,1,7260.72265625
65738006,1,1,0,0,1,6888.01025390625
66139590,1,1,0,0,1,7221.30078125
66541173,1,1,0,0,1,7443.49462890625
66942727,1,1,0,0,1,6626.39453125
67344313,1,1,0,0,1,6812.7509765625
67745897,1,1,0,0,1,6877.2587890625
68147493,1,1,0,0,1,7031.36083984375
68549037,1,1,0,0,1,6913.0966796875
68950642,1,1,0,0,1,7077.9501953125
69352203,1,1,0,0,1,6672.98388671875
69753798,1,1,0,0,1,6608.47607421875
70155388,1,1,0,0,1,6726.740234375
70556974,1,1,0,0,1,7744.53173828125
70958574,1,1,0,0,1,7181.87939453125
71360163,1,1,0,0,1,6615.6435546875
71761749,1,1,0,0,1,6816.33447265625
72163359,1,1,0,0,1,6891.59375
72564901,1,1,0,0,1,6579.8056640625
72966482,1,1,0,0,1,6991.939453125
73368072,1,1,0,0,1,6375.53076171875
73769649,1,1,0,0,1,6866.50732421875
74171231,1,1,0,0,1,6819.91845703125
74572820,1,1,0,0,1,6615.6435546875
74974422,1,1,0,0,1,6604.89208984375
75376006,1,1,0,0,1,6687.31884765625
75777579,1,1,0,0,1,7203.38232421875
76179133,1,1,0,0,1,6063.74267578125
76580714,1,1,0,0,1,7070.78271484375
76982319,1,1,0,0,1,5873.802734375
77383907,1,1,0,0,1,7941.63916015625
77785492,1,1,0,0,1,7508.0029296875
78187083,1,1,0,0,1,7895.05029296875
78588669,1,1,0,0,1,7396.90576171875
78990284,1,1,0,0,1,6436.455078125
79391873,1,1,0,0,1,7318.06298828125
79793462,1,1,0,0,1,7009.8583984375
80195029,1,1,0,0,1,7242.8037109375
80596572,1,1,0,0,1,7339.5654296875
80998159,1,1,0,0,1,7418.408203125
81399743,1,1,0,0,1,6927.431640625
81801347,1,1,0,0,1,7128.123046875
82202928,1,1,0,0,1,6088.8291015625
82604543,1,1,0,0,1,7024.193359375
83006112,1,1,0,0,1,6425.70361328125
83407709,1,1,0,0,1,6418.5361328125
83809293,1,1,0,0,1,5422.2470703125
84210876,1,1,0,0,1,6529.6328125
84612464,1,1,0,0,1,7006.2744140625
85014060,1,1,0,0,1,7027.77734375
85415646,1,1,0,0,1,7371.8193359375
85817241,1,1,0,0,1,6640.72998046875
86218825,1,1,0,0,1,6662.232421875
86620356,1,1,0,0,1,6816.33447265625
87021957,1,1,0,0,1,6830.669921875
87423488,1,1,0,0,1,6590.55712890625
