timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,pressure (PSI)
27587596,0,0,0,0,1,-14.064536094665527
27989184,0,0,0,0,1,-15.684775352478027
28390780,0,0,0,0,1,-17.409467697143555
28792369,0,0,0,0,1,-18.447261810302734
29193950,0,0,0,0,1,-16.8128662109375
29595501,0,0,0,0,1,-17.34461212158203
29997086,0,0,0,0,1,-16.30712890625
30398655,0,0,0,0,1,-17.357585906982422
30800226,0,0,0,0,1,-16.942556381225586
31201847,0,0,0,0,1,-17.072145462036133
31603423,0,0,0,0,1,-17.6429443359375
32005004,0,0,0,0,1,-17.279762268066406
32406549,0,0,0,0,1,-16.177461624145508
32808125,0,0,0,0,1,-18.12291717529297
33209656,0,0,0,0,1,-18.23967933654785
33611248,0,0,0,0,1,-16.475698471069336
34012828,0,0,0,0,1,-14.803278923034668
34414401,0,0,0,0,1,-14.608858108520508
34816013,0,0,0,0,1,-17.357585906982422
35217558,0,0,0,0,1,-13.740570068359375
35619146,0,0,0,0,1,-12.963165283203125
36020727,0,0,0,0,1,-15.775527000427246
36422304,0,0,0,0,1,-14.466289520263672
36823884,0,0,0,0,1,-16.060768127441406
37225461,0,0,0,0,1,-18.23967933654785
37627044,0,0,0,0,1,-15.062520980834961
38028649,0,0,0,0,1,-16.177461624145508
38430233,0,0,0,0,1,-16.138561248779297
38831822,0,0,0,0,1,-17.993186950683594
39233411,0,0,0,0,1,-15.671807289123535
39634994,0,0,0,0,1,-16.475698471069336
40036576,0,0,0,0,1,-17.007396697998047
40438158,0,0,0,0,1,-17.24085235595703
40839741,0,0,0,0,1,-17.6429443359375
41241328,0,0,0,0,1,-14.25882625579834
41642943,0,0,0,0,1,-15.529199600219727
42044524,0,0,0,0,1,-15.049556732177734
42446110,0,0,0,0,1,-19.147932052612305
42847708,0,0,0,0,1,-17.824548721313477
43249297,0,0,0,0,1,-16.320093154907227
43650893,0,0,0,0,1,-16.968494415283203
44052472,0,0,0,0,1,-19.031145095825195
44454026,0,0,0,0,1,-16.047800064086914
44855631,0,0,0,0,1,-13.027942657470703
45257218,0,0,0,0,1,-17.1370906829834
45658796,0,0,0,0,1,-16.670215606689453
46060337,0,0,0,0,1,-15.075481414794922
46461923,0,0,0,0,1,-17.48729133605957
46863504,0,0,0,0,1,-17.759689331054688
47265055,0,0,0,0,1,-17.05927848815918
47666637,0,0,0,0,1,-14.647741317749023
48068186,0,0,0,0,1,-15.438451766967773
48469788,0,0,0,0,1,-19.22579574584961
48871374,0,0,0,0,1,-15.29585075378418
49272956,0,0,0,0,1,-18.551055908203125
49674535,0,0,0,0,1,-18.12291717529297
50076123,0,0,0,0,1,-16.825836181640625
50477719,0,0,0,0,1,-19.031042098999023
50879306,0,0,0,0,1,-19.18686294555664
51280897,0,0,0,0,1,-16.358997344970703
51682507,0,0,0,0,1,-17.422439575195312
52084100,0,0,0,0,1,-16.320093154907227
52485688,0,0,0,0,1,-18.719730377197266
52887280,0,0,0,0,1,-17.928329467773438
53288826,0,0,0,0,1,-16.722089767456055
53690409,0,0,0,0,1,-17.928329467773438
54091961,0,0,0,0,1,-17.05927848815918
54493515,0,0,0,0,1,-16.358997344970703
54895108,0,0,0,0,1,-18.20075798034668
55296709,0,0,0,0,1,-19.680015563964844
55698290,0,0,0,0,1,-18.693777084350586
56099877,0,0,0,0,1,-16.722089767456055
56501465,0,0,0,0,1,-20.18621253967285
56903008,0,0,0,0,1,-18.719730377197266
57304598,0,0,0,0,1,-16.825836181640625
57706183,0,0,0,0,1,-17.21491050720215
58107731,0,0,0,0,1,-18.20075798034668
58509311,0,0,0,0,1,-17.68185806274414
58910901,0,0,0,0,1,-19.757884979248047
59312501,0,0,0,0,1,-15.931109428405762
59714077,0,0,0,0,1,-18.369415283203125
60115629,0,0,0,0,1,-17.50026512145996
60517208,0,0,0,0,1,-16.16449737548828
60918791,0,0,0,0,1,-18.525108337402344
61320342,0,0,0,0,1,-17.34461212158203
61721928,0,0,0,0,1,-17.629873275756836
62123539,0,0,0,0,1,-16.8128662109375
62525107,0,0,0,0,1,-18.693777084350586
62926656,0,0,0,0,1,-17.046306610107422
63328244,0,0,0,0,1,-18.25265121459961
63729791,0,0,0,0,1,-18.74567985534668
64131372,0,0,0,0,1,-14.842164039611816
64532966,0,0,0,0,1,-17.1370906829834
64934546,0,0,0,0,1,-19.316633224487305
65336158,0,0,0,0,1,-17.188976287841797
65737742,0,0,0,0,1,-19.680015563964844
66139321,0,0,0,0,1,-21.211795806884766
66942456,0,0,0,0,1,-25.637725830078125
67344040,0,0,0,0,1,-29.147823333740234
67745627,0,0,0,0,1,-26.826868057250977
68147220,0,0,0,0,1,-25.2479305267334
68548766,0,0,0,0,1,-20.164791107177734
68950372,0,0,0,0,1,-25.092025756835938
69351932,0,0,0,0,1,-27.002351760864258
69753524,0,0,0,0,1,-25.735183715820312
70155117,0,0,0,0,1,-24.48794937133789
70556704,0,0,0,0,1,-24.799718856811523
70958301,0,0,0,0,1,-26.222501754760742
71359888,0,0,0,0,1,-26.612401962280273
71761475,0,0,0,0,1,-27.177841186523438
72163084,0,0,0,0,1,-27.197338104248047
72564627,0,0,0,0,1,-23.533329010009766
72966211,0,0,0,0,1,-26.709888458251953
73367798,0,0,0,0,1,-24.897151947021484
73769378,0,0,0,0,1,-25.637725830078125
74170963,0,0,0,0,1,-19.30872917175293
74572551,0,0,0,0,1,-20.048171997070312
74974147,0,0,0,0,1,-23.43593406677246
75375733,0,0,0,0,1,-22.52053451538086
75777307,0,0,0,0,1,-24.760744094848633
76178860,0,0,0,0,1,-24.66331672668457
76580442,0,0,0,0,1,-28.30898094177246
76982045,0,0,0,0,1,-27.899391174316406
77383632,0,0,0,0,1,-26.43694305419922
77785219,0,0,0,0,1,-26.20301055908203
78186809,0,0,0,0,1,-31.567922592163086
78588398,0,0,0,0,1,-25.306398391723633
78990012,0,0,0,0,1,-25.18946075439453
79391599,0,0,0,0,1,-25.98858070373535
79793191,0,0,0,0,1,-26.261489868164062
80194758,0,0,0,0,1,-26.729385375976562
80596300,0,0,0,0,1,-26.865863800048828
80997891,0,0,0,0,1,-28.19194793701172
81399476,0,0,0,0,1,-20.84615707397461
81801075,0,0,0,0,1,-31.411739349365234
82202655,0,0,0,0,1,-27.938396453857422
82604271,0,0,0,0,1,-26.807369232177734
83005839,0,0,0,0,1,-25.111513137817383
83407433,0,0,0,0,1,-24.351560592651367
83809024,0,0,0,0,1,-26.94385528564453
84210604,0,0,0,0,1,-24.448978424072266
84612192,0,0,0,0,1,-28.055416107177734
85013788,0,0,0,0,1,-27.58734893798828
85415373,0,0,0,0,1,-27.48969268798828
85816972,0,0,0,0,1,-26.826868057250977
86218552,0,0,0,0,1,-24.955612182617188
86620083,0,0,0,0,1,-25.735183715820312
87021685,0,0,0,0,1,-25.208951950073242
87423216,0,0,0,0,1,-27.60685157775879
87824819,0,0,0,0,1,-26.417444229125977
88226408,0,0,0,0,1,-26.729385375976562
88627994,0,0,0,0,1,-21.21600914001465
89029583,0,0,0,0,1,-23.085329055786133
89431192,0,0,0,0,1,-27.860380172729492
89832777,0,0,0,0,1,-26.885358810424805
90234358,0,0,0,0,1,-25.774166107177734
90635946,0,0,0,0,1,-32.62237548828125
91037531,0,0,0,0,1,-28.71862030029297
91439117,0,0,0,0,1,-24.351560592651367
91840715,0,0,0,0,1,-27.72386360168457
92242296,0,0,0,0,1,-27.021846771240234
92643882,0,0,0,0,1,-24.293106079101562
93045480,0,0,0,0,1,-24.897151947021484
93447065,0,0,0,0,1,-24.19569206237793
93848663,0,0,0,0,1,-25.150487899780273
94250251,0,0,0,0,1,-30.61124038696289
94651838,0,0,0,0,1,-27.56784439086914
95053428,0,0,0,0,1,-25.949596405029297
95455015,0,0,0,0,1,-26.43694305419922
95856612,0,0,0,0,1,-22.462112426757812
96258191,0,0,0,0,1,-24.390527725219727
96659775,0,0,0,0,1,-23.51384925842285
97061376,0,0,0,0,1,-27.197338104248047
97462965,0,0,0,0,1,-28.48453712463379
97864561,0,0,0,0,1,-26.94385528564453
98266145,0,0,0,0,1,-28.66010093688965
98667729,0,0,0,0,1,-24.6048583984375
99069324,0,0,0,0,1,-26.183509826660156
99470906,0,0,0,0,1,-29.030759811401367
99872509,0,0,0,0,1,-28.738128662109375
100274092,0,0,0,0,1,-28.172443389892578
100675650,0,0,0,0,1,-24.760744094848633
101077249,0,0,0,0,1,-23.31905746459961
101478852,0,0,0,0,1,-25.286907196044922
