timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,gyroX (deg/s),gyroY (deg/s),gyroZ (deg/s),accX (g),accY (g),accZ (g),temperature (degC)
27586598,0,1,0,0,0,-0.10000000149011612,-0.20000000298023224,-0.10000000149011612,-0.008750000037252903,-0.11499999463558197,-0.9962499737739563,24.80000114440918
27988184,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,-0.10000000149011612,-0.009999999776482582,-0.11374999582767487,-0.9962499737739563,25.0
28389775,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,-0.10000000149011612,-0.009999999776482582,-0.11499999463558197,-0.9962499737739563,24.899999618530273
28791366,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,0.0,-0.008750000037252903,-0.11625000089406967,-0.9962499737739563,24.899999618530273
29192958,0,1,0,0,0,-0.10000000149011612,-0.20000000298023224,-0.10000000149011612,-0.008750000037252903,-0.11499999463558197,-0.9975000023841858,25.0
29594538,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,0.0,-0.007499999832361937,-0.11499999463558197,-0.9962499737739563,24.899999618530273
29996094,0,1,0,0,0,-0.20000000298023224,-0.30000001192092896,-0.10000000149011612,-0.007499999832361937,-0.11499999463558197,-0.9962499737739563,25.0
30397674,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,-0.10000000149011612,-0.008750000037252903,-0.11625000089406967,-0.9975000023841858,25.0
30799242,0,1,0,0,0,-0.20000000298023224,-0.20000000298023224,-0.10000000149011612,-0.008750000037252903,-0.11499999463558197,-0.9962499737739563,25.0
31200851,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,-0.10000000149011612,-0.008750000037252903,-0.11625000089406967,-0.9962499737739563,24.899999618530273
31602435,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,-0.10000000149011612,-0.008750000037252903,-0.11499999463558197,-0.9962499737739563,25.0
32004013,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,-0.10000000149011612,-0.007499999832361937,-0.11374999582767487,-0.9962499737739563,25.0
32405594,0,1,0,0,0,0.0,-0.30000001192092896,-0.20000000298023224,-0.007499999832361937,-0.11499999463558197,-0.9962499737739563,25.0
32807139,0,1,0,0,0,-0.10000000149011612,-0.30000001192092896,-0.10000000149011612,-0.008750000037252903,-0.11499999463558197,-0.9962499737739563,25.0
33208712,0,1,0,0,0,0.0,-0.30000001192092896,-0.10000000149011612,-0.008750000037252903,-0.11499999463558197,-0.9975000023841858,25.0
33610246,0,1,0,0,0,-0.10000000149011612,-0.20000000298023224,-0.10000000149011612,-0.008750000037252903,-0.11499999463558197,-0.9962499737739563,25.0
34011834,0,1,0,0,0,0.0,-0.30000001192092896,-0.10000000149011612,-0.008750000037252903,-0.11374999582767487,-0.9962499737739563,25.200000762939453
