Id	Description	Qty	Unit	Designators
1	Cable, 10 wires	1	m	W1
2	Cable, 2 wires	1	m	W2
3	Connector, female, 2 pins	1		X3
4	Connector, male, 10 pins	2		X1, X2
5	Connector, male, 2 pins	1		X4
