timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,probeTemp (degC),ambientTemp (degC)
11165235,0,0,0,0,0,11.75,13.125
11648016,0,0,0,0,0,11.75,13.1875
11683267,0,0,0,0,0,-6.0,13.1875
11725191,0,0,0,0,0,-6.0,13.125
11760154,0,0,0,0,0,0.25,13.125
11830197,0,0,0,0,0,-6.0,13.125
11907811,0,0,0,0,0,7.25,13.125
11949090,0,0,0,0,0,7.25,13.1875
11984019,0,0,0,0,0,-10.0,13.1875
12019026,0,0,0,0,0,-10.0,13.125
12054039,0,0,0,0,0,-1.5,13.125
12131048,0,0,0,0,0,11.75,13.125
12278221,0,0,0,0,0,12.0,13.125
12649024,0,0,0,0,0,-63.5,13.125
12726015,0,0,0,0,0,-77.5,13.125
12768039,0,0,0,0,0,-77.5,13.1875
12803011,0,0,0,0,0,-65.25,13.1875
12838296,0,0,0,0,0,-65.25,13.125
12873201,0,0,0,0,0,-27.5,13.125
12950206,0,0,0,0,0,12.0,13.125
13027813,0,0,0,0,0,12.25,13.125
13286015,0,0,0,0,0,12.25,13.1875
13363048,0,0,0,0,0,12.25,13.125
13510252,0,0,0,0,0,12.25,13.1875
13622214,0,0,0,0,0,12.5,13.1875
13692223,0,0,0,0,0,-23.75,13.1875
13734220,0,0,0,0,0,-23.75,13.25
13769093,0,0,0,0,0,-27.5,13.25
13811134,0,0,0,0,0,-27.5,13.1875
13846062,0,0,0,0,0,-34.75,13.1875
13916013,0,0,0,0,0,12.25,13.1875
13958024,0,0,0,0,0,12.25,13.125
14035016,0,0,0,0,0,12.25,13.1875
14182076,0,0,0,0,0,12.25,13.125
14252272,0,0,0,0,0,12.25,13.1875
14406059,0,0,0,0,0,12.25,13.25
14476055,0,0,0,0,0,12.25,13.1875
14630129,0,0,0,0,0,12.25,13.125
14665211,0,0,0,0,0,-34.5,13.125
14700053,0,0,0,0,0,-34.5,13.25
14735277,0,0,0,0,0,-33.5,13.25
14777136,0,0,0,0,0,-33.5,13.1875
14812032,0,0,0,0,0,-34.75,13.1875
14882091,0,0,0,0,0,4.25,13.1875
14959026,0,0,0,0,0,12.25,13.1875
15519026,0,0,0,0,0,12.25,13.25
15596024,0,0,0,0,0,12.25,13.125
15631023,0,0,0,0,0,11.5,13.125
15673044,0,0,0,0,0,11.5,13.1875
15701015,0,0,0,0,0,6.25,13.1875
15743038,0,0,0,0,0,6.25,13.25
15778031,0,0,0,0,0,-1.5,13.25
15855191,0,0,0,0,0,-1.0,13.25
15890159,0,0,0,0,0,-1.0,13.1875
15925171,0,0,0,0,0,12.25,26.375
15932128,0,0,0,0,0,12.25,13.1875
16114155,0,0,0,0,0,12.25,13.125
16149132,0,0,0,0,0,12.0,13.125
16191026,0,0,0,0,0,12.0,13.1875
16226026,0,0,0,0,0,12.25,13.1875
16373018,0,0,0,0,0,12.0,13.1875
16415258,0,0,0,0,0,12.0,13.25
16492024,0,0,0,0,0,12.0,13.1875
16562134,0,0,0,0,0,12.0,13.25
16597057,0,0,0,0,0,12.25,13.25
16639028,0,0,0,0,0,12.25,13.1875
16674175,0,0,0,0,0,-84.25,13.1875
16716049,0,0,0,0,0,-84.25,13.25
16744138,0,0,0,0,0,-34.0,13.25
16821021,0,0,0,0,0,-14.25,13.25
16898065,0,0,0,0,0,-16.25,13.25
16968015,0,0,0,0,0,-19.5,13.25
17045225,0,0,0,0,0,-18.75,13.25
17122108,0,0,0,0,0,10.0,13.25
17157078,0,0,0,0,0,10.0,13.1875
17192221,0,0,0,0,0,12.0,13.1875
17234165,0,0,0,0,0,12.0,13.25
17535059,0,0,0,0,0,12.0,13.1875
17640218,0,0,0,0,0,-14.25,13.1875
17682141,0,0,0,0,0,-14.25,13.25
17717075,0,0,0,0,0,-46.75,13.25
17787892,0,0,0,0,0,-40.25,13.25
17864163,0,0,0,0,0,-32.25,13.25
17906172,0,0,0,0,0,-32.25,13.1875
17941014,0,0,0,0,0,12.0,13.1875
17976022,0,0,0,0,0,12.0,13.25
18053016,0,0,0,0,0,12.0,13.1875
18200251,0,0,0,0,0,12.0,13.25
18277012,0,0,0,0,0,12.0,13.1875
18347784,0,0,0,0,0,12.0,13.25
18382087,0,0,0,0,0,12.25,13.25
18459017,0,0,0,0,0,12.0,13.25
18501019,0,0,0,0,0,12.0,13.1875
18536011,0,0,0,0,0,11.75,13.1875
18571018,0,0,0,0,0,11.75,13.25
18683024,0,0,0,0,0,-18.5,13.25
18760314,0,0,0,0,0,-63.5,13.25
18830211,0,0,0,0,0,-103.75,13.25
18907803,0,0,0,0,0,11.75,13.25
18949238,0,0,0,0,0,11.75,13.1875
19019031,0,0,0,0,0,11.75,13.25
19243039,0,0,0,0,0,11.75,13.1875
19320050,0,0,0,0,0,11.75,13.25
19467870,0,0,0,0,0,11.75,13.1875
19502110,0,0,0,0,0,11.5,13.1875
19544049,0,0,0,0,0,11.5,13.25
19579167,0,0,0,0,0,11.75,13.25
19614091,0,0,0,0,0,11.75,13.1875
19649161,0,0,0,0,0,-86.25,13.1875
19691065,0,0,0,0,0,-86.25,13.25
19726076,0,0,0,0,0,-133.5,13.25
19768031,0,0,0,0,0,-133.5,13.3125
19803029,0,0,0,0,0,-134.0,13.3125
19838029,0,0,0,0,0,-134.0,13.25
19873025,0,0,0,0,0,-75.75,13.25
19950051,0,0,0,0,0,11.5,13.25
20020214,0,0,0,0,0,11.75,13.25
20174027,0,0,0,0,0,11.5,13.25
20244096,0,0,0,0,0,11.75,13.25
20321028,0,0,0,0,0,11.5,13.25
