timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,probeTemp (degC),ambientTemp (degC)
11137174,0,0,0,0,0,15.0,13.1875
11172165,0,0,0,0,0,15.0,13.25
11207819,0,0,0,0,0,15.25,13.25
11249163,0,0,0,0,0,15.25,13.0
11256123,0,0,0,0,0,15.25,13.25
11396033,0,0,0,0,0,15.25,13.1875
11473066,0,0,0,0,0,15.25,13.25
11578012,0,0,0,0,0,15.5,13.25
11655270,0,0,0,0,0,-27.75,13.25
11732212,0,0,0,0,0,-34.0,13.25
11844130,0,0,0,0,0,-34.0,13.3125
11879111,0,0,0,0,0,-44.25,13.3125
11949104,0,0,0,0,0,-38.5,13.3125
12026046,0,0,0,0,0,-34.75,13.3125
12103022,0,0,0,0,0,-30.0,13.3125
12173028,0,0,0,0,0,16.0,13.3125
12215320,0,0,0,0,0,16.0,13.25
12250052,0,0,0,0,0,15.75,13.25
12292178,0,0,0,0,0,15.75,13.1875
12362135,0,0,0,0,0,15.75,13.25
12474090,0,0,0,0,0,16.0,13.25
12544049,0,0,0,0,0,15.75,13.25
12621028,0,0,0,0,0,15.5,13.25
12698039,0,0,0,0,0,-6.0,13.25
12733029,0,0,0,0,0,-6.0,13.3125
12768054,0,0,0,0,0,4.5,13.3125
12810073,0,0,0,0,0,4.5,13.25
12845304,0,0,0,0,0,6.75,13.25
12915248,0,0,0,0,0,15.5,13.25
13139074,0,0,0,0,0,15.75,13.25
13286029,0,0,0,0,0,16.0,13.25
13405021,0,0,0,0,0,16.0,13.3125
13475021,0,0,0,0,0,16.0,13.25
13552023,0,0,0,0,0,16.0,13.3125
13629210,0,0,0,0,0,16.0,13.25
13657223,0,0,0,0,0,12.5,13.25
13734234,0,0,0,0,0,15.0,13.25
13811148,0,0,0,0,0,9.25,13.25
13881049,0,0,0,0,0,11.25,13.25
13958038,0,0,0,0,0,15.75,13.25
14035030,0,0,0,0,0,15.5,13.25
14294019,0,0,0,0,0,15.5,13.3125
14371056,0,0,0,0,0,15.5,13.25
14406073,0,0,0,0,0,15.25,13.25
14595068,0,0,0,0,0,15.25,13.3125
14700068,0,0,0,0,0,-10.5,13.3125
14777150,0,0,0,0,0,-5.25,13.3125
14847807,0,0,0,0,0,-8.25,13.3125
14924172,0,0,0,0,0,15.25,13.3125
15113024,0,0,0,0,0,15.25,13.25
15183027,0,0,0,0,0,15.25,13.3125
15218024,0,0,0,0,0,15.0,13.3125
15260276,0,0,0,0,0,15.0,13.25
